#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-01T20:37:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-01T20:37:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=DEICRS&-out=Plx&-out=B-V&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP|Vmag|DEICRS|Plx|B-V
  7937| 7.72|-19.19244230|   8.20| 0.416
  7938| 8.14|-39.14744291|   2.73| 0.933
  7939| 6.69|+61.03825058|   3.28|-0.026
  7940| 8.66|-41.11801705|   4.60| 0.160
  7941| 5.70|-36.83226421|  10.71|-0.010
  7942| 8.78|-04.94452666|   4.38| 0.944
  7943| 5.63|+35.24576705|  12.61|-0.059
  7944| 7.21|+43.63999415|   3.08| 0.002
  7945| 7.97|-32.09084335|   3.61| 0.967
  7946| 8.64|+32.76712322|   4.50| 0.490
  7947|10.22|-27.55688133|   8.18| 0.550
  7948| 7.53|+29.50606787|   3.77| 0.049
  7949| 7.53|+69.08601991|  21.08| 0.586
  7950| 7.81|-55.86549036|   3.38| 1.351
  7951| 7.68|+39.41220094|   1.70| 1.627
  7952| 8.91|-18.12632216|   5.94| 0.470
  7953| 8.39|+30.09594401|   4.22| 0.343
  7954| 8.83|-66.01766387|   6.32| 0.956
  7955| 5.25|-32.32685759|  15.02| 1.044
  7956| 6.96|+66.79234761|   3.42| 1.160
  7957| 7.51|+02.30798937|   7.97| 0.191
  7958| 7.94|-79.91284388|   6.52| 0.397
  7959| 8.99|-11.10510833|  11.66| 0.596
  7960| 8.70|+31.13962418|   9.12| 0.477
  7961| 7.45|-17.88883494|  20.45| 0.617
  7962| 9.82|-13.21227603|   4.88| 1.180
  7963| 6.35|+58.62775870|   2.24|-0.027
  7964| 8.38|+57.18533972|   0.54| 0.055
  7965| 5.57|+68.04304624|   7.34|-0.049
  7967| 8.30|-03.42457925|   1.15| 0.559
  7966| 9.05|+20.45303368|   7.33| 0.428
  7968| 8.05|-06.75480098|   7.74| 0.476
  7969| 6.99|+32.96188784|   2.28| 1.556
  7970| 9.41|+52.38900952|   3.11| 0.000
  7971| 7.95|-02.16034152|  10.44| 0.438
  7972| 8.49|-01.03699313|   2.27| 0.179
  7973| 7.97|-66.84266588|   7.59| 0.578
  7974| 8.34|+79.33204412|  11.52| 0.962
  7975| 7.58|+15.77854670|   5.24| 1.120
  7977| 9.11|-28.57918530|   9.37| 0.521
  7976| 8.80|-78.24355290|   1.86| 1.172
  7978| 5.52|-53.74057470|  57.63| 0.551
  7979| 8.41|+49.99975881|   0.48| 1.300
  7980| 8.40|-12.32053108|   0.80| 0.413
  7981| 5.24|+20.27015091| 133.91| 0.836
  7982| 8.09|-19.35280626|   3.07| 0.832
  7983| 6.99|-08.65956083|   5.41| 1.117
  7984| 9.01|+66.10797486|   2.64| 1.183
  7985| 9.13|+08.55856588|   8.15| 0.625
  7986| 7.18|-20.17255176|   3.00| 1.414
  7987| 7.29|+10.24460670|  10.41| 0.284
  7988| 7.69|+48.41646989|   4.30|-0.011
  7989| 6.98|+60.54807263|   3.12| 1.306
  7990| 8.40|-58.41305650|  22.59| 0.714
  7991| 6.71|+40.37736879|   2.65| 1.356
  7992| 7.92|+70.17366107|  10.68| 0.506
  7993|11.93|-24.62768965|   4.07|
  7994| 7.22|+38.51548385|   5.84| 1.173
  7995| 9.34|+50.89588395|   4.31| 0.523
  7996| 8.35|-41.64730664|   3.06| 0.955
  7997| 8.96|+25.30292821|   0.43| 1.664
  7998|10.23|+46.22678445|   8.13| 0.627
  7999| 4.98|-03.69011692|   2.71| 1.378
  8000| 8.88|+41.31301000|   4.92| 1.031
  8001| 7.86|+63.89102989|   3.58| 1.127
  8002| 9.59|-38.00532090|   0.85| 1.000
  8003| 9.17|+42.70480793|   3.45|-0.013
  8004| 9.57|+18.06090922|  -1.32| 1.107
  8005| 9.33|+24.35457447|   3.69| 1.204
  8006| 9.80|+69.75865017|   2.05| 0.072
  8007| 9.31|-12.16028541|   9.26| 0.567
  8009| 7.98|-54.69704773|   7.42| 0.367
  8008|11.65|-25.89001545|  29.15| 1.464
  8010| 8.39|+11.08585762|   4.24| 0.321
  8011| 9.09|-44.88497087|   5.75| 0.379
  8012| 9.69|-59.12613706|   5.60| 0.521
  8013| 9.56|-09.07118148|   1.06| 1.190
  8014|11.19|-42.20310863|  29.35| 1.381
  8015| 8.96|-64.90873577|   2.44| 1.025
  8016| 5.18|+70.62255881|  11.62|-0.022
  8017| 7.57|+31.02728088|   2.41| 1.610
  8018| 7.22|-83.36709095|  14.95| 0.710
  8019| 7.01|+58.11583391|   8.97| 0.429
  8020| 6.33|+61.42109575|   3.19| 0.013
  8021| 8.79|-35.52485807|   1.05| 1.168
  8022| 7.69|-14.49150393|   2.97| 1.450
  8023| 9.27|-35.81502523|   5.43| 0.529
  8024| 8.75|-54.85643185|   5.78| 0.493
  8026| 8.77|+12.56767218|   3.97| 1.050
  8025| 8.87|+56.51278671|  -0.11| 2.024
  8028| 9.13|+41.77420617|   1.24| 1.193
  8027| 9.40|-66.67538756|   2.45| 0.900
  8029| 8.92|-69.57251858|   1.59| 1.106
  8030| 8.26|-61.36218357|   2.86| 1.075
  8031|11.40|+06.11130466|   3.53|
  8032| 8.27|+62.64348364|   2.51| 0.120
  8033|10.83|+10.44949763|  16.70| 1.027
  8034| 6.82|+48.51677663|   0.24| 1.874
  8035| 9.13|-58.00966878|  24.30| 0.874
  8036| 9.43|+62.09409348|  -0.50| 0.080
  8037|10.24|-16.82595755|   3.51| 0.580
  8038|10.12|-21.61563186|  22.11| 1.158
  8040| 9.63|+50.05912766|   2.84| 0.312
  8039| 8.23|-21.61974631|  30.58| 0.853
  8041| 8.60|+12.95476007|   6.07| 0.538
  8042| 8.96|+67.01428070|   0.99| 0.324
  8044| 6.33|+45.32263641|  18.04| 1.020
  8045| 8.92|+21.50030413|   1.43| 1.287
  8046| 5.78|+60.55137091|   3.57|-0.010
  8047| 9.77|-05.11849265|   6.79| 0.767
  8048|10.34|-29.41365661|   3.05| 0.335
  8049| 8.89|+59.75247924|   0.25| 0.113
  8050| 8.80|-11.07685983|   9.45| 0.470
  8051|10.93|+04.32351508|  88.86| 1.525
  8052| 6.57|+59.63288280|   6.59| 1.075
  8053| 8.27|-00.57246130|   3.70| 1.105
  8054| 9.52|-23.16947223|   8.41| 0.629
  8055|11.13|+04.88084608|  15.11| 1.183
  8056| 7.97|-56.23447075|   6.10| 1.077
  8057| 7.57|+74.74227551|   0.44| 1.819
  8058| 9.47|-57.68646295|   1.88| 0.981
  8059| 8.53|-38.49525698|   2.19| 1.011
  8060| 8.43|-19.40356439|  14.55| 0.564
  8061| 8.87|-22.73466543|   3.03| 1.190
  8062| 9.48|+68.36374507|   1.42| 0.264
  8063| 6.66|+51.51582552|   3.86| 1.614
  8064| 7.57|+05.74549241|   2.99| 1.431
  8065| 9.29|+77.68016934|   9.57| 0.638
  8066| 6.76|+52.88578953|   2.39| 0.433
  8067|10.61|+28.05599931|  20.23| 1.035
  8068| 4.01|+50.68876550|   4.55|-0.098
  8069|11.73|+28.05270629|  33.68| 1.626
  8070| 8.42|+63.82481469|  74.45| 1.202
  8071| 8.89|+14.70217551|   4.17| 0.240
  8072| 9.25|+37.08176794|   5.59| 0.666
  8073| 9.83|+15.04047587|  11.23| 0.743
  8074| 9.55|+61.83432365|   0.39| 0.868
  8076|10.02|-27.00513142|   7.30| 0.634
  8075|10.11|+17.74630973|   2.77| 0.466
  8077|10.87|+01.44848992|   5.38| 0.915
  8078| 8.51|+09.56877399|  21.20| 0.820
  8079| 7.99|-50.64126304|   4.18| 1.286
  8080| 7.92|+00.90252092|   6.91| 1.060
  8081| 6.94|+55.87753548|   5.88| 0.234
  8082| 6.59|+74.60454680|   6.61| 1.035
  8083|11.77|-24.08605939|   4.06|-0.359
  8084| 9.10|-29.81136334|   7.10| 0.918
  8085| 8.84|-37.27408104|   3.09| 1.106
  8086| 6.32|+32.19201138|   7.08| 0.879
  8087| 9.23|-63.20281112|   8.23| 0.633
  8088| 9.91|-18.56538486|   3.85| 0.515
  8089| 8.08|-08.65768556|   3.58| 1.063
  8090| 8.28|+03.59000012|   2.74| 1.201
  8091| 8.65|-05.51768588|   4.95| 1.072
  8092| 7.73|-07.47925241|   3.77| 0.048
  8093| 7.43|+49.65644871|   1.73| 0.012
  8094| 6.20|-04.76543961|   4.55| 1.537
  8095| 8.62|-13.15010690|   1.44| 0.943
  8096| 8.48|+32.74010920|   9.12| 0.437
  8097| 8.62|-30.72728053|   2.87| 0.196
  8098| 8.80|-00.16887558|   3.84| 0.909
  8099| 8.74|+11.71721195|  10.90| 0.489
  8100| 8.37|+09.49684801|   1.87| 0.264
  8101| 9.74|+21.27286292|   3.41| 0.585
  8102| 3.49|-15.93955597| 274.17| 0.727
  8103| 7.89|+43.24022916|   4.50| 1.080
  8104| 9.38|-23.60073743|   0.15| 0.580
  8105| 7.84|+38.52195902|   2.74| 0.972
  8106| 7.31|+61.84980336|   1.61| 1.220
  8107| 9.38|-24.29941631|   4.06| 0.381
  8108| 7.01|+48.21134059|   3.98| 0.027
  8109| 7.27|+54.88648394|  22.38| 0.601
  8111| 8.78|-50.09921951|   4.01| 0.220
  8110| 7.15|+09.48424502|  14.27|
  8112| 8.81|+70.90173795|   5.28| 0.125
  8113| 8.62|+09.56978776|   3.26| 0.632
  8114| 9.03|-19.00928395|   3.72| 1.609
  8115| 6.18|+57.53666151|  12.63| 0.131
  8116| 8.47|+02.61557976|   8.49| 0.404
  8117| 8.80|-31.61856429|   2.23| 1.004
  8118| 8.27|+53.18910998|   1.66| 0.207
  8119| 9.71|-80.57421453|  14.23| 0.780
  8120| 9.36|+07.07820402|   2.46| 0.328
  8121| 8.11|-20.59540467|  17.29| 0.635
  8122| 6.73|+32.51604103|  13.95| 0.247
  8123| 7.19|+37.66840205|   2.91|-0.009
  8124| 8.81|-45.61220605|   7.50| 0.549
  8125|10.66|+60.62060633|   0.63| 0.505
  8126| 8.64|+14.05662416|   4.24| 1.110
  8127| 6.32|+46.13976854|   6.04| 1.419
  8128| 8.74|-33.84248655|  21.09| 0.685
  8129|10.24|+07.81881386|   1.73| 0.499
  8130|10.21|+44.46386755|  11.33| 0.498
  8131| 7.81|+39.95865673|   7.75|-0.200
  8132| 6.79|-61.01869036|   5.61|-0.067
  8133| 8.08|-45.25522679|   3.05| 0.995
  8134| 6.73|+03.22373927|   1.95| 1.605
  8135| 6.82|-34.40602089|   3.90| 1.425
  8136| 8.79|-16.83219498|   2.51| 1.266
  8137|10.21|+23.38875406|   2.49| 1.264
  8138| 7.30|+36.93842248|   7.29| 0.188
  8139| 7.69|-51.02055156|   6.32| 1.047
  8140| 8.34|-11.50795953|   4.54| 1.085
  8141| 8.67|-58.77175813|   2.65| 1.015
  8142| 8.58|+62.96617937|   4.98| 1.020
  8143| 6.45|-06.76617551|   6.09| 0.864
  8144| 8.07|-06.66923806|   5.49| 0.423
  8145| 7.26|+75.87225281|   8.67| 0.333
  8146| 9.66|+23.85135190|   8.32| 0.450
  8147| 8.50|-49.49125827|   7.25| 0.593
  8148| 6.25|+57.08922153|   5.82| 0.062
  8149| 8.83|-20.15090486|   5.72| 0.600
  8150|10.17|-53.33612176|   1.91| 0.474
  8151| 7.84|+25.79669722|  11.95| 0.369
  8152|10.07|-18.40063824|   7.88| 0.695
  8153| 7.50|+28.45815398|   4.04| 0.003
  8154|10.40|+71.69083407|   0.66| 0.060
  8155| 9.04|-69.09047490|   5.44| 0.443
  8156| 8.44|+19.85682008|   5.57| 0.389
  8157| 8.46|-32.82676398|   0.88| 1.097
  8158| 8.49|-43.64562275|   2.12| 0.385
  8159| 6.27|+20.08340568|  30.71| 0.720
  8160| 6.95|-28.72636081|   5.66| 1.574
  8161| 9.77|-01.05841728|  16.65| 0.804
  8162| 9.59|-36.44637779|  10.29| 0.685
  8163|11.39|-30.05918726|   5.56|-0.052
  8164| 7.02|+69.50250095|   5.32| 1.137
  8165| 8.76|+58.79129576|   4.55| 1.044
  8166| 9.31|+57.11675966|  12.63| 0.885
  8167| 9.90|-26.59440425|   4.83| 0.506
  8168| 7.66|-31.38587807|   9.20| 0.308
  8169| 7.87|+43.70637137|   4.03| 0.378
  8170| 9.57|+52.34710280|   3.45| 0.113
  8171|11.01|-30.92695006|   4.15| 0.578
  8172| 9.10|-59.71815344|   7.46| 0.417
  8173| 7.19|+02.50318862|   7.22| 1.060
  8174| 9.68|-10.77209931|   4.78| 0.557
  8175| 7.89|+28.73472606|   3.85| 1.450
  8176| 9.28|-54.00792252|   7.58| 0.519
  8178| 7.20|-14.56227793|   4.69| 0.986
  8177| 9.63|-20.05187466|   9.11| 0.540
  8179| 9.09|-25.85018789|   2.76| 1.478
  8180| 8.20|+71.89036008|   0.21| 1.480
  8181|10.97|-20.05182413|  19.59| 0.539
  8182| 9.89|+53.95239988|  -1.69| 1.722
  8184| 9.65|-59.88903756|   3.58| 0.466
  8183| 8.64|+71.05115571|   1.07| 0.361
  8185| 8.70|-60.38810493|   4.58| 0.954
  8186| 8.27|+56.64328107|   3.47| 1.110
  8187| 9.15|-26.36015565|  11.82| 0.565
  8188| 8.51|-15.89525017|  14.28| 0.609
  8189| 8.97|-31.89154828|   8.47| 0.574
  8190|11.42|+46.53498099|  40.43| 1.330
  8191|11.75|-28.01621743|   0.34| 1.220
  8192| 8.32|-45.08125720|   7.95| 0.501
  8193| 9.56|-56.10791053|  13.56| 0.665
  8194| 7.51|+35.71247762|  10.43| 0.320
  8195|11.39|-39.95599951|  31.08| 1.412
  8196| 7.38|-03.16902086|   1.50| 1.649
  8197| 9.65|-12.25659426|   8.98| 0.641
  8198| 4.26|+09.15764102|  12.63| 0.942
  8199| 7.35|-77.35691787|   7.19| 0.501
  8200| 8.38|-21.98706973|   3.53| 0.781
  8201|10.02|+30.47051210|  -0.06| 1.152
  8202| 8.61|-36.10655550|   1.24| 0.978
  8203| 8.75|+34.86298075|   5.69| 0.900
  8204| 8.77|+44.80637221|   8.55| 0.380
  8205| 9.72|+16.26608907|   5.52| 0.456
  8206| 7.67|-26.39710291|   3.37| 1.686
  8207| 8.40|+27.11910759|   6.18| 0.962
  8208| 9.50|-15.17958751|   2.31| 1.041
  8209| 5.29|-25.05243403|  36.46| 0.395
  8210| 6.55|+08.55929739|   5.37|-0.026
  8211| 6.99|+03.66724627|   7.85| 0.138
  8212|10.82|+40.64877742|   4.31| 0.222
  8213| 7.99|+46.70116815|   3.49| 1.112
  8214| 8.52|+33.85189831|   5.18| 0.109
  8215| 8.91|+25.03330225|   1.65| 0.263
  8216| 8.74|+26.39968173|   6.25| 0.556
  8217| 9.84|-09.34417254|   5.92| 0.459
  8218| 8.22|-01.92656191|   3.44| 1.039
  8219| 9.89|-42.48268491|  11.38| 0.787
  8220|10.13|-11.32948955|  24.49| 1.104
  8221| 9.17|+20.30846309|  14.72| 0.780
  8222| 9.27|-42.82772436|   5.50| 0.528
  8223| 9.60|+38.26950023|   2.29| 1.177
  8224| 9.48|-80.30067621|  29.96| 1.126
  8225| 6.83|+03.41757837|   6.24| 0.362
  8226| 8.79|+36.18842640|   3.99| 0.988
  8227| 8.08|-04.22857946|   8.03| 0.863
  8228| 8.80|-71.64441840|   2.98| 1.165
  8229| 8.99|+62.93683765|   3.99| 0.260
  8230| 5.37|-05.73322696|   6.40| 1.517
  8231| 7.69|+59.73301661|   1.02| 1.004
  8232| 8.71|-43.91341286|  19.40| 0.657
  8233| 6.38|-27.34872151|  23.16| 0.366
  8234| 8.46|+29.16435410|   3.50| 1.334
  8235| 8.70|+55.33192284|   2.31|-0.045
  8236| 9.88|-56.95888982|  10.53| 0.545
  8237|10.26|+59.10218077|   2.84| 0.439
  8238| 7.93|+39.61129199|   4.07| 1.493
  8239| 8.83|+61.22827561|  -1.79| 0.724
  8240| 5.49|-50.81621317|   4.80| 1.615
  8241| 5.04|-53.52218065|  17.54| 0.031
  8242| 8.84|+53.60774574|   3.28|-0.018
  8243| 9.18|+31.48694633|   6.34| 0.599
  8244| 7.55|+80.25369961|   2.19| 1.621
  8245| 8.43|+74.82275959|   8.86| 0.418
  8246| 9.29|+54.75919023|   0.95|-0.120
  8247| 8.95|+22.44871620|   7.05| 0.556
  8248| 8.85|+39.63683128|   7.80| 0.385
  8249| 9.16|-40.24804367|   6.17| 0.546
  8250| 8.37|-45.29103812|  11.18| 0.428
  8251| 9.35|-46.94764894|  12.68| 0.748
  8252| 8.54|+33.72182305|   7.60| 0.417
  8253| 8.11|-42.38187510|   1.67| 1.579
  8254| 8.77|+06.53615326|   7.93| 0.562
  8255|10.01|+71.56730859|  -0.15| 0.190
  8256|10.41|+11.96196558|   4.29| 0.440
  8257| 7.48|+43.70570255|   1.99|-0.013
  8258| 7.87|+40.98334432|  13.46| 0.539
  8259| 9.83|-44.85393181|   4.59| 0.559
  8260| 8.48|+61.25825645|  -0.68| 0.651
  8261|10.42|+63.72285836|   2.65| 1.854
  8262| 9.09|+15.71320450|   2.43| 1.107
  8263| 8.83|-67.69963280|   2.13| 0.966
  8264| 8.10|-13.50122217|   4.01| 0.944
  8265|10.32|-16.30368693|   5.45| 0.480
  8266| 8.82|+29.55034830|   8.12| 0.502
  8267| 8.91|+05.95352578|   2.44| 1.051
  8268| 7.52|-10.59793798|   3.65| 1.050
  8269| 8.45|-02.34068059|   2.29| 0.941
  8270|10.13|-29.59489481|  10.10| 0.600
  8271| 6.55|+17.41269320|   4.61| 0.256
  8272| 7.96|+41.55197082|   4.17| 1.120
  8273| 7.35|-74.73900851|  11.61| 0.803
  8274| 9.34|+00.11216358|   6.47| 0.513
  8275| 8.91|+12.41195514|  43.37| 1.044
  8276| 8.65|+45.69929092|   3.21| 0.495
  8277| 8.33|+30.79394894|   8.07| 0.554
  8278| 7.69|-61.39094956|   7.93| 0.453
  8279| 8.34|-43.31947241|   4.09| 1.140
  8280| 8.41|-39.94432091|   3.81| 0.275
  8281| 8.10|-24.01420928|   7.67| 0.944
  8282| 8.95|+38.92777602|   5.96| 1.200
  8283| 8.34|+33.16263430|   7.61| 0.526
  8284| 8.94|+38.92624914|   5.96| 0.580
  8285| 8.13|+25.91849646|  18.61| 0.626
  8286| 9.25|-50.08977536|  10.03| 0.681
  8287| 7.64|-42.13198193|   2.48| 1.454
  8288| 7.35|+59.15624217|  14.29| 0.606
  8289| 9.65|-30.19379019|   4.53| 0.670
  8290| 8.25|-49.64664436|   2.90| 1.039
  8291| 8.38|-82.67298535|   8.90| 0.355
  8292| 7.78|+38.74884738|   8.40| 0.325
  8293| 8.81|-27.66952083|   9.74| 0.460
  8294|10.95|-09.75269988|   1.35| 0.492
  8295| 9.57|+51.12405069|   6.70| 0.535
  8296| 6.70|-13.88873674|  10.08| 0.070
  8297| 8.48|+60.37232732|  -0.45| 2.266
  8298|10.09|+00.98260772|  15.38| 0.695
  8299| 9.43|-66.52918921|  10.60| 0.588
  8300| 7.51|+26.16831104|   3.33| 1.308
  8301| 9.46|-31.37131898|   4.02| 1.237
  8302| 7.39|-03.11537538|   6.42| 0.374
  8303| 8.39|+18.67775353|   7.91| 0.528
  8304| 8.36|-09.59930670|   1.51| 1.260
  8305| 9.53|+61.19845540|   0.18| 0.691
  8306| 7.05|+10.84426479|   3.86|-0.017
  8307| 7.74|+63.65383363|   5.04| 1.114
  8308| 8.01|+21.18374556|   2.29| 0.050
  8309| 9.08|+17.28818141|   0.81| 0.944
  8310| 9.33|-25.69427269|   1.29| 1.047
  8311| 8.67|+24.39228805|  11.66| 0.578
  8312|10.43|+61.42249364|  -0.85| 1.071
  8313| 9.54|+57.74497660|  -3.14| 0.000
  8314| 9.94|+73.47382233|   6.46| 0.417
  8315|11.31|+64.02091368|  -1.41|
  8316| 8.50|+50.85954140|   2.95| 1.608
  8317| 8.15|-51.80110939|   1.83| 1.075
  8318| 7.37|-17.48351001|   5.11| 0.167
  8319| 9.89|+06.97785966|   6.05| 0.657
  8320| 6.18|-41.76004487|   5.79| 1.544
  8321| 6.76|+58.02123651|   3.56| 1.074
  8322| 7.61|-42.63903224|   5.55| 0.254
  8323| 8.91|+68.58985110|   1.77| 0.166
  8324| 8.89|+51.13203841|   2.40| 1.172
  8325| 9.09|+61.13194410|  -1.80| 0.644
  8326| 9.17|-48.22476617|   5.45| 0.558
  8327| 8.83|+10.95369126|   1.61| 1.436
  8328| 7.80|+00.81219918|   5.02| 1.187
  8329| 8.41|+03.91725335|   3.67| 1.368
  8330| 9.44|-28.79507036|   9.74| 0.519
  8331| 8.40|-28.68436664|   5.68| 1.069
  8332| 7.87|+43.08042942|   4.46|-0.009
  8333| 8.39|+50.75095817|   1.87| 0.135
  8334| 9.60|+04.71609449|   4.83| 0.979
  8335| 8.59|+12.97533681|   4.40| 1.696
  8336| 8.09|-69.88223281|   1.53| 1.083
  8337| 8.45|-07.87681933|   2.45| 1.431
  8338| 8.27|-63.60857883|   1.87| 1.608
  8339| 7.84|-02.91192687|  11.04| 0.408
  8340| 9.80|-22.82305884|   1.42| 0.515
  8341| 7.79|+00.15523992|   5.23| 1.051
  8342| 8.70|+13.19005885|   8.50| 0.508
  8343| 9.78|-35.88793237|   2.95| 0.384
  8344| 7.02|-46.25722174|   2.12| 1.666
  8345| 8.09|-17.21812366|   1.27| 1.499
  8346| 8.98|-26.74935383|  25.79| 0.795
  8347| 6.55|-20.84506213|   4.11| 1.389
  8348| 9.74|-22.39279891|   3.78| 0.463
  8349| 8.22|-03.23777029|  12.64| 0.517
  8351| 8.65|-76.78018470|   7.78| 0.430
  8350| 8.82|+47.95564863|   2.10| 1.659
  8353| 7.96|-43.97108087|   5.81| 0.544
  8352| 8.84|-29.72301072|   2.58|-0.104
  8354|10.16|+48.73748317|   2.41| 1.197
  8355| 9.46|-46.05765101|   8.92| 0.585
  8356|10.39|+28.48166107|  -4.05| 0.214
  8357| 7.44|+54.00451056|   3.34|-0.059
  8358| 8.45|+28.48725775|   5.13| 0.976
  8359| 9.25|+40.13623738|   1.62| 1.568
  8360| 8.41|-13.19774974|  13.02| 0.530
  8361| 9.74|-12.77105908|  30.78| 1.144
  8362| 5.63|+63.85310111| 100.24| 0.804
  8363| 8.49|+49.86845262|   4.29| 0.985
  8364| 8.85|-48.36451319|   2.38| 1.255
  8365|10.13|-41.27005699|   2.59| 0.478
  8366| 6.05|-80.17616913|  16.13| 0.338
  8367| 9.02|-41.23651917|   2.37| 0.958
  8368| 8.74|-39.57420911|   2.83| 1.180
  8369| 6.33|-37.15953257|   5.85| 1.016
  8370| 6.33|+46.22988460|  17.15| 0.461
  8371| 8.63|+19.46104135|   2.79| 1.006
  8372| 9.11|-45.71850774|   7.26| 0.458
  8373| 9.73|-18.16048228|   4.83| 0.616
  8374| 9.69|-82.40607989|   8.25| 0.626
  8375| 8.73|+22.75966618|   2.34| 1.340
  8376| 8.26|+47.17701709|   4.71| 0.250
  8377| 8.76|-00.95643907|   2.46| 0.317
  8378| 9.44|+43.21137224|   1.82| 0.984
  8379| 8.73|+51.88733904|   3.29| 1.200
  8380| 9.79|+41.23924127|   8.38| 0.555
  8381|12.79|-05.92921214|  -6.10|
  8382|12.24|+21.20726838|  48.23| 1.695
  8383| 9.46|-22.22345167|   9.90| 0.546
  8384| 8.69|+21.65876124|   3.09| 0.397
  8385| 8.87|+61.83416723|   3.57| 0.155
  8386| 8.25|-56.39084532|   3.27| 1.059
  8387| 5.86|+16.95563093|  11.37|-0.039
  8388| 8.33|-69.72925263|   4.24| 1.141
  8389|10.69|-36.93974821|  14.02| 0.916
  8390| 8.95|-09.24037601|   2.58| 0.871
  8391| 9.08|-44.33258441|   5.23| 0.482
  8392| 8.43|+02.71142224|  11.35| 0.515
  8393| 8.03|+00.45212623|   2.72| 1.028
  8394| 9.24|-70.06957596|  13.33| 0.763
  8397| 9.71|+87.89125408|   8.14| 0.481
  8395| 9.57|-26.10074207|   9.22| 0.602
  8396| 9.97|+59.34207879|   8.01| 0.486
  8398| 7.13|-41.49543661|  22.16| 0.637
  8399| 7.35|+17.02264629|  11.35| 0.681
  8400| 8.58|+45.91580914|   2.55| 1.027
  8401|10.07|-05.35404147|   4.29| 0.540
  8403| 8.59|-20.64327847|   4.02| 0.360
  8404| 5.91|+03.68540364|   9.95| 0.970
  8405| 9.29|-36.85237621|  -1.52| 1.052
  8406| 8.35|+55.70599930|   3.01| 0.034
  8407| 8.03|-64.35260971|   4.52| 0.947
  8408| 8.34|+29.45183145|   2.48| 1.291
  8409| 8.16|+30.77922919|   2.48| 0.909
  8410| 9.26|+62.68060838|   6.20| 1.090
  8411| 9.77|-11.79475395|   5.51| 0.630
  8412| 9.24|+20.30560364|   1.30| 1.111
  8413| 8.49|+16.31850477|   8.38| 0.303
  8414| 8.50|+16.30608748|  10.09| 0.200
  8415| 7.43|+58.45783640|   1.05| 0.279
  8416| 8.59|+10.21475549|   8.02| 0.360
  8417| 7.11|-26.25365006|   8.76| 0.280
  8418| 8.30|+22.40172765|   9.68| 0.725
  8419| 9.14|-79.68952870|   3.30| 1.312
  8420| 8.37|-44.10347931|   7.86| 0.485
  8421| 7.23|-14.76520709|   2.76| 1.593
  8422| 9.91|-32.47729372|  11.00| 0.594
  8424| 9.15|+44.42764268|   0.28| 1.223
  8423| 5.94|+37.95293583|  10.57| 0.975
  8425| 8.74|-01.53102136|   3.54| 0.913
  8426| 9.09|+14.06117957|  18.56| 0.804
  8427| 9.60|-34.23634543|   3.57| 0.552
  8428| 8.48|-57.14421511|   2.67| 1.199
  8429| 7.04|+07.68397678|   5.27| 1.194
  8430| 9.76|-52.45489683|   3.98| 0.567
  8431| 7.57|-38.65732628|  10.89| 0.430
  8432| 8.86|-46.79635277|   9.06| 0.395
  8433| 5.78|+32.68948705|  36.65| 0.572
  8434| 7.90|-23.86978021|   5.91| 0.469
  8435|12.32|-26.60344957|   2.92|-0.060
  8436| 9.02|-33.61536560|   3.93| 1.003
